Width,Length,Time (Seconds),Visited Cell Count,Total Cell Count,Percentage Visited,,,Size,Average Time,Average Percentage
5,5,6.056879,18,25,72,,,5,6.6368427,
5,5,8.987146,23,25,92,,,10,21.9360285,
5,5,10.20602,24,25,96,,,20,88.426317,
5,5,8.388479,23,25,92,,,30,258.375958,
5,5,4.340451,15,25,60,,,40,566.67452,
5,5,2.22466,11,25,44,,,50,1030.40457,
5,5,10.3038,24,25,96,,,,,
5,5,4.247427,15,25,60,,,,,
5,5,7.577961,21,25,84,,,,,
5,5,4.035604,15,25,60,,,,,
10,10,25.02928,70,100,70,,,,,
10,10,26.89424,73,100,73,,,,,
10,10,20.39127,61,100,61,,,,,
10,10,4.7629,24,100,24,,,,,
10,10,15.51091,51,100,51,,,,,
10,10,41.08125,99,100,99,,,,,
10,10,44.53156,94,100,94,,,,,
10,10,13.7467,46,100,46,,,,,
10,10,19.97197,58,100,58,,,,,
10,10,7.440205,32,100,32,,,,,
20,20,97.47917,230,400,57.5,,,,,
20,20,38.29275,119,400,29.75,,,,,
20,20,21.99404,81,400,20.25,,,,,
20,20,85.15363,202,400,50.5,,,,,
20,20,137.8477,305,400,76.25,,,,,
20,20,28.43172,95,400,23.75,,,,,
20,20,136.6233,298,400,74.5,,,,,
20,20,73.9343,180,400,45,,,,,
20,20,81.70166,195,400,48.75,,,,,
20,20,182.8049,383,400,95.75,,,,,
30,30,60.92615,183,900,20.33333333,,,,,
30,30,440.4922,883,900,98.11111111,,,,,
30,30,385.5776,788,900,87.55555556,,,,,
30,30,402.6605,800,900,88.88888889,,,,,
30,30,250.5602,509,900,56.55555556,,,,,
30,30,138.2817,320,900,35.55555556,,,,,
30,30,194.1602,415,900,46.11111111,,,,,
30,30,327.9571,658,900,73.11111111,,,,,
30,30,307.8948,586,900,65.11111111,,,,,
30,30,75.24913,192,900,21.33333333,,,,,
40,40,439.0401,859,1600,53.6875,,,,,
40,40,699.7696,1170,1600,73.125,,,,,
40,40,683.6051,1302,1600,81.375,,,,,
40,40,480.192,900,1600,56.25,,,,,
40,40,635.9678,1098,1600,68.625,,,,,
40,40,419.9607,732,1600,45.75,,,,,
40,40,662.107,1040,1600,65,,,,,
40,40,800.3114,1242,1600,77.625,,,,,
40,40,251.2887,515,1600,32.1875,,,,,
40,40,594.5028,1189,1600,74.3125,,,,,
50,50,356.6535,709,2500,28.36,,,,,
50,50,819.7606,1446,2500,57.84,,,,,
50,50,637.8636,1080,2500,43.2,,,,,
50,50,1045.347,1593,2500,63.72,,,,,
50,50,770.0001,1194,2500,47.76,,,,,
50,50,1292.103,1810,2500,72.4,,,,,
50,50,1506.167,1919,2500,76.76,,,,,
50,50,919.1659,1169,2500,46.76,,,,,
50,50,1107.839,1347,2500,53.88,,,,,
50,50,1849.146,2351,2500,94.04,,,,,
,,19724.54236,,,,,,,,
